<--------------------,Recruitment info in previous tab,,,,,,,,,"If not listed, character gains",,,,,"Base stats were all calculated. If anything looks odd, please contact me!",,,,,,,,,,,,Remember that you need to add class growths!,,,,I tested Alear and Dragon Child growths:,,,https://twitter.com/Aveyn_Knight/status/1616091790746222592,,,,,,,,,,,,,,,,Seems odd?,,,,,,,,,,,
,Sorry about any messed up symbolsÃ©,,,,,,,,,Proficiency from their initial class,,,,Internal,Enemy stats are for Normal mode (keep scrolling ------------------------------------> for Hard mode stats),,,,,,,,,,,,,,,,,,"Also Sight and Movement growth, but all 0",,,,,,,,,,,,,,,,,,,Hard mode stats,,,,,,,,,
Fabrication,,PID_S006_幻影兵_シーフ,Thief,---,Male,---,---,,Default,---,---,,23,0,32,11,1,21,20,10,4,3,6,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,33,15,3,22,19,14,8,7,7,5
Fabrication,,PID_S006_幻影兵_マスターモンク_ベレト側近,Martial Master,---,Male,---,---,,Default,---,---,,6,0,36,11,11,12,14,8,12,5,9,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,38,15,17,13,13,12,19,9,9,5
Fabrication,,PID_S006_幻影兵_スナイパー_ベレト側近,Sniper,---,Female,---,---,,Default,---,---,,6,0,36,16,1,24,16,8,5,4,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,39,21,4,26,15,12,9,8,8,5
Fabrication,"""Edelgard""",PID_S006_幻影兵_エーデルガルト,General,---,Female,---,---,,Default,---,---,,10,0,53,25,1,21,9,25,2,4,16,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,Steady Stance,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,55,31,2,22,9,33,8,8,17,4
Fabrication,"""Dimitri""",PID_S006_幻影兵_ディミトリ,Halberdier,---,Male,---,---,,Default,---,---,,10,0,47,24,6,25,21,14,7,4,10,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,Seal Speed,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,48,29,10,27,21,20,13,8,10,5
Fabrication,"""Claude""",PID_S006_幻影兵_クロード,Wyvern Knight,---,Male,---,---,,Default,---,---,,10,0,50,20,7,23,23,12,8,4,11,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,Certain Blow,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,52,26,12,24,23,20,13,8,11,6
Fabrication,,PID_S006_幻影兵_グリフォンナイト,Griffin Knight,---,Male,---,---,,Default,---,---,,8,0,38,14,10,23,26,8,14,8,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,40,19,15,25,26,13,19,13,8,6
Fabrication,,PID_S006_幻影竜,Phantom Wyrm,---,???,---,---,,Default,---,---,,28,0,48,0,15,10,3,14,14,1,17,2,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,Spirit Strike,---,---,A soulless monster created by secret techniques. It has no will of its own and only follows its master's orders.,50,0,21,10,3,21,21,4,18,2
Sigurd,Paralogue 9,PID_S009_シグルド,Emblem,---,Male,---,---,,Default,---,---,,30,0,52,15,5,21,22,13,13,22,13,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,"Gallop, Momentum+, Canter+, Headlong Rush, (Stuck)",(Hit/Avoid -10),Stalwart,Veteran+,Override,---,Known as the Emblem of the Holy War. A noble knight with a mighty lineage.,52,24,10,21,22,25,23,22,13,6
Fabrication,"""Julius""",PID_S009_幻影兵_ユリウス,Sage,---,Male,---,---,,Default,---,---,,20,0,55,25,46,45,42,27,42,34,19,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,Unbreakable,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,43*,26*,48*,34*,30*,20*,44*,30*,11*,5
Fabrication,"""Ishtar""",PID_S009_幻影兵_イシュタル,Sage,---,Female,---,---,,Default,---,---,,18,0,40,15,30,34,31,17,27,24,9,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,Unbreakable,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,40,20,37,34,30*,20*,36,24,9,5
Fabrication,"""Zagam""",PID_S009_幻影兵_ザガム,Sage,---,Male,---,---,,Default,---,---,,10,0,45,4,22,21,18,8,21,11,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,Anchor,(Hit/Avoid -10),---,Unbreakable,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,43*,8,30,21,18,20,35,11,8,5
Fabrication,,PID_S009_幻影兵_ジェネラル,General,---,Male,---,---,,Default,---,---,,8,0,51,20,1,20,8,19,2,8,16,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,53,26,2,21,8,32,7,8,16,4
Fabrication,,PID_S009_幻影兵_マージナイト,Mage Knight,---,Female,---,---,,Default,---,---,,8,0,31,11,9,16,18,8,15,7,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,32,15,20,17,19,13,22,7,9,6
Fabrication,,PID_S009_幻影兵_グレートナイト,Great Knight,---,Male,---,---,,Default,---,---,,8,0,46,17,2,22,13,19,5,10,13,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,47,22,5,23,14,29,11,11,13,6
Fabrication,,PID_S009_幻影兵_パラディン,Paladin,---,Female,---,---,,Default,---,---,,8,0,46,15,2,24,20,12,9,10,10,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,48,23,6,25,21,19,14,11,11,6
Fabrication,,PID_S009_幻影兵_ウルフナイト,Wolf Knight,---,Male,---,---,,Default,---,---,,8,0,41,14,5,22,24,9,11,12,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,43,19,9,23,25,14,17,13,9,6
Fabrication,,PID_S009_幻影兵_ボウナイト,Bow Knight,---,Female,---,---,,Default,---,---,,8,0,40,14,3,24,20,6,9,10,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,42,18,7,25,21,12,14,11,9,6
Fabrication,,PID_S009_幻影兵_セイジ,Sage,---,Male,---,---,,Default,---,---,,8,0,29,3,14,16,14,5,17,10,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,30,7,23,17,15,11,24,11,8,5
Fabrication,,PID_S009_幻影兵_マスターモンク,Martial Master,---,Male,---,---,,Default,---,---,,8,0,39,13,13,14,14,9,14,10,9,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,41,17,19,15,15,14,21,10,10,5
Fabrication,,PID_S009_幻影兵_ハイプリースト,High Priest,---,Female,---,---,,Default,---,---,,8,0,34,5,17,17,16,5,19,14,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,35,9,23,18,17,11,26,15,8,5
Fabrication,,PID_S009_幻影兵_ブレイブヒーロー,Hero,---,Male,---,---,,Default,---,---,,8,0,44,17,0,20,22,12,5,11,10,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,46,23,4,21,23,18,11,12,11,5
Fabrication,,PID_S009_幻影兵_ウォーリアー,Warrior,---,Male,---,---,,Default,---,---,,8,0,53,17,1,16,17,9,4,4,13,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,56,26,5,17,18,14,9,5,13,5
Fabrication,,PID_S009_幻影兵_ベルセルク,Berserker,---,Male,---,---,,Default,---,---,,8,0,55,19,0,13,15,5,2,4,15,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,58,28,3,14,16,11,6,5,15,5
Fabrication,,PID_S009_幻影兵_スナイパー,Sniper,---,Female,---,---,,Default,---,---,,8,0,40,15,1,27,16,9,6,9,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,42,23,5,29,17,14,11,9,9,5
Abyme,Chapter 18,PID_M018_イルシオン兵_ボス,Berserker,---,Female,---,---,,Default,---,---,,10,0,64,25,0,15,18,11,2,5,17,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Foe with Death Convo),(Hit/Avoid -20),---,Veteran+,---,---,A general of Elusia. Clearly devoted to her duty.,64,31,3,15,18,12,7,5,17,5
Elusian Soldier,,PID_M018_イルシオン兵_ブレイブヒーロー,Hero,---,Male,---,---,,Default,---,---,,7,0,45,18,0,20,22,8,6,11,11,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,46,23,4,21,23,15,11,12,11,5
Elusian Soldier,,PID_M018_イルシオン兵_ベルセルク,Berserker,---,Male,---,---,,Default,---,---,,7,0,57,23,0,13,16,8,2,4,15,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,58,28,3,14,16,14,6,5,15,5
Elusian Soldier,,PID_M018_イルシオン兵_スナイパー,Sniper,---,Female,---,---,,Default,---,---,,7,0,41,19,1,28,17,9,6,9,9,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,42,23,5,29,17,14,11,9,9,5
Elusian Soldier,,PID_M018_イルシオン兵_ジェネラル,General,---,Male,---,---,,Default,---,---,,7,0,52,21,1,20,8,20,2,8,16,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,53,26,2,21,8,32,7,8,16,4
Elusian Soldier,,PID_M018_イルシオン兵_セイジ,Sage,---,Female,---,---,,Default,---,---,,7,0,30,3,20,19,17,5,17,10,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,30,7,25,19,17,11,24,11,8,5
Elusian Soldier,,PID_M018_イルシオン兵_ドラゴンナイト,Wyvern Knight,---,Male,---,---,,Default,---,---,,7,0,49,19,7,22,21,12,7,8,11,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,50,24,11,23,22,19,13,8,11,6
Elusian Soldier,,PID_M018_イルシオン兵_グリフォンナイト,Griffin Knight,---,Male,---,---,,Default,---,---,,7,0,41,15,11,26,27,9,15,13,9,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,42,20,16,26,27,14,20,14,9,6
Thief,,PID_M018_シーフ,Thief,---,Male,---,---,,Default,---,---,,17,0,32,11,1,21,18,10,4,7,6,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,32,15,3,21,19,13,8,7,6,5
Elusian Soldier,,PID_M018_イルシオン兵_スナイパー2,Sniper,---,Female,---,---,,Default,---,---,,7,0,41,19,11,28,17,9,6,9,9,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,42,23,15,29,17,14,11,9,9,5
Corrin,Paralogue 7,PID_S007_カムイ,Emblem,---,Female,---,---,,Default,---,---,,32,0,41,18,15,21,19,17,17,12,9,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,"Dragon Vein, Draconic Hex, Pair Up, Quality Time+, Dreadful Aura, (Stuck)",(Hit/Avoid -10),Stalwart,Veteran+,Torrential Roar,---,Known as the Emblem of Fates. Someone with an iron will and the blood of the First Dragons.,45,23,20,24,20,21,21,18,10,5
Fabrication,"""Xander""",PID_S007_幻影兵_マークス,Paladin,---,Male,---,---,,Default,---,---,,8,0,44,19,4,23,20,13,10,5,10,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,48,24,6,26,21,19,15,11,11,6
Fabrication,"""Camilla""",PID_S007_幻影兵_カミラ,Wyvern Knight,---,Female,---,---,,Default,---,---,,8,0,46,19,8,21,21,13,9,3,10,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,51,25,11,24,22,19,13,8,11,6
Fabrication,"""Leo""",PID_S007_幻影兵_レオン,Mage Knight,---,Male,---,---,,Default,---,---,,8,0,30,12,15,15,18,9,16,2,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,33,15,20,17,19,13,22,7,9,6
Fabrication,"""Elise""",PID_S007_幻影兵_エリーゼ,Royal Knight,---,Female,---,---,,Default,---,---,,8,0,40,17,13,23,21,11,13,7,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,44,21,18,26,22,15,18,13,9,6
Fabrication,"""Ryoma""",PID_S007_幻影兵_リョウマ,Swordmaster,---,Male,---,---,,Default,---,---,,8,0,38,15,5,22,27,10,9,8,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,42,19,8,25,28,14,13,14,9,5
Fabrication,"""Hinoka""",PID_S007_幻影兵_ヒノカ,Griffin Knight,---,Female,---,---,,Default,---,---,,8,0,39,16,12,24,27,10,16,8,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,43,20,16,27,28,14,21,14,9,6
Fabrication,"""Takumi""",PID_S007_幻影兵_タクミ,Sniper,---,Male,---,---,,Default,---,---,,8,0,39,19,3,26,17,10,7,4,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,43,24,5,29,18,15,11,10,9,5
Fabrication,"""Sakura""",PID_S007_幻影兵_サクラ,High Priest,---,Female,---,---,,Default,---,---,,8,0,33,7,18,16,17,7,20,9,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,36,10,24,18,18,11,27,15,8,5
Fabrication,,PID_S007_幻影兵_ソードマスター,Swordmaster,---,Female,---,---,,Default,---,---,,6,0,36,15,5,20,25,10,9,8,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,40,18,7,23,27,14,13,14,8,5
Fabrication,,PID_S007_幻影兵_ハルバーディア,Halberdier,---,Male,---,---,,Default,---,---,,6,0,41,20,7,21,18,14,8,3,9,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,46,23,9,25,19,18,12,8,10,5
Fabrication,,PID_S007_幻影兵_ベルセルク,Berserker,---,Male,---,---,,Default,---,---,,6,0,51,23,2,12,16,7,4,0,14,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,57,27,2,13,16,10,6,4,15,5
Fabrication,,PID_S007_幻影兵_スナイパー,Sniper,---,Female,---,---,,Default,---,---,,6,0,37,19,3,24,17,10,7,4,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,41,22,5,28,17,14,11,9,9,5
Fabrication,,PID_S007_幻影兵_ドラゴンナイト,Wyvern Knight,---,Male,---,---,,Default,---,---,,6,0,44,19,8,19,20,13,9,3,10,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,49,23,11,22,21,18,12,8,11,6
Fabrication,,PID_S007_幻影兵_パラディン,Paladin,---,Female,---,---,,Default,---,---,,6,0,42,19,4,21,19,13,10,5,10,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,47,22,6,24,20,18,14,10,11,6
Fabrication,,PID_S007_幻影兵_マスターモンク,Martial Master,---,Male,---,---,,Default,---,---,,6,0,36,14,14,13,15,10,15,5,9,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,40,17,18,14,15,14,20,10,10,5
Fabrication,,PID_S007_幻影兵_セイジ,Sage,---,Female,---,---,,Default,---,---,,6,0,28,5,17,17,17,7,18,5,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,30,7,25,19,17,10,23,10,7,5
Mauvier,Chapter 19,PID_M019_モーヴ,Royal Knight,---,Male,---,---,,Default,Staff,---,,12,0,59,19,19,24,22,22,17,11,12,6,0,,85,55,60,50,45,60,55,20,20,,0,0,0,0,0,0,0,,"Contemplative, (Stuck), (Foe with Death Convo)",(Hit/Avoid -20),Stalwart,Veteran+,---,---,"One of the Four Hounds. A rugged, honest man who's loyal to a fault.",59,24,30,24,22,26,26,11,12,6
Marni,,PID_M019_マロン,General,---,Female,---,---,,Default,Axe,---,,12,0,50,20,9,10,8,26,8,6,15,4,0,,90,60,25,10,20,65,35,30,15,,0,0,0,0,0,0,0,,"(Stuck), (Foe with Death Convo)",(Hit/Avoid -20),Stalwart,Veteran+,---,---,One of the Four Hounds. A somewhat naive armored knight.,60,26,9,10,8,34,14,6,15,4
Corrupted,,PID_M019_異形兵_ブレイブヒーロー,Hero,---,Male,---,---,,Default,---,---,,9,0,44,17,0,20,22,12,5,11,10,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,47,24,4,22,24,19,11,12,11,5
Corrupted,,PID_M019_異形兵_ロイヤルナイト,Royal Knight,---,Female,---,---,,Default,---,---,,7,0,40,15,11,18,20,9,11,6,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,43,21,18,20,22,15,18,8,9,6
Corrupted,,PID_M019_異形兵_グレートナイト,Great Knight,---,Male,---,---,,Default,---,---,,9,0,46,17,2,20,13,19,5,10,13,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,49,23,5,24,14,31,11,11,13,6
Corrupted,,PID_M019_異形兵_ウルフナイト,Wolf Knight,---,Female,---,---,,Default,---,---,,7,0,40,13,5,18,23,8,10,11,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,43,19,9,23,25,14,17,13,9,6
Corrupted,,PID_M019_異形兵_ウォーリアー,Warrior,---,Female,---,---,,Default,---,---,,9,0,53,20,1,8,17,7,4,4,13,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,58,27,5,10,19,13,10,5,13,5
Corrupted,,PID_M019_異形兵_ベルセルク,Berserker,---,Male,---,---,,Default,---,---,,7,0,53,21,0,0,14,5,2,4,14,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,58,28,3,2,16,11,6,5,15,5
Corrupted,,PID_M019_異形兵_スナイパー,Sniper,---,Female,---,---,,Default,---,---,,7,0,39,17,1,22,15,9,6,8,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,42,23,5,29,17,15,12,9,9,5
Corrupted Wyrm,,PID_M019_異形竜,Corrupted Wyrm,---,???,---,---,,Default,---,---,,29,0,51,0,15,10,2,14,14,4,17,2,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A giant dragon raised by the Fell Dragon. Armored with tough scales and armed with powerful breath.,54,0,22,11,3,27,27,4,18,2
Eirika,Paralogue 8,PID_S008_エイリーク,Emblem,---,Female,---,---,,Default,---,---,,35,0,39,17,13,25,24,13,19,24,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,"Eclipse Brace+, Blue Skies+, Sacred Twins, (Stuck)",(Hit/Avoid -20),---,Unbreakable,Twin Strike,---,Known as the Emblem of the Sacred. A compassionate princess who takes up her sword for the sake of peace.,44,24,20,30,26,21,27,35,10,5
Fabrication,"""Dracozombie""",PID_S008_ドラゴンゾンビ,Phantom Wyrm,---,???,---,---,,Default,---,---,,29,0,47,1,16,9,2,16,16,-1,17,2,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless monster created by secret techniques. It has no will of its own and only follows its master's orders.,53,0,24,12,3,23,23,5,19,2
Fabrication,"""Gorgon""",PID_S008_幻影兵_ゴーゴン魔法,Sage,---,Female,---,---,,Default,---,---,,9,0,29,4,20,18,17,7,19,6,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,32,9,29,22,19,12,27,12,8,5
Fabrication,"""Gorgon""",PID_S008_幻影兵_ゴーゴン杖,High Priest,---,Female,---,---,,Default,---,---,,9,0,33,6,18,17,18,7,21,10,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,38,11,26,20,20,12,30,17,9,5
